REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Region,BACKSTOP,WDD2,2037,0.1
Region,BACKSTOP,WDD2,2038,0.1
Region,BACKSTOP,WDD2,2039,0.1
Region,BACKSTOP,WDD2,2040,0.1
Region,BACKSTOP,WDD2,2041,0.1
Region,BACKSTOP,WDD2,2042,0.1
Region,BACKSTOP,WDD2,2043,0.1
Region,BACKSTOP,WDD2,2044,0.1
Region,BACKSTOP,WDD2,2045,0.1
Region,BACKSTOP,WDD2,2046,0.1
Region,BACKSTOP,WDD2,2047,0.1
Region,BACKSTOP,WDD2,2048,0.1
Region,BACKSTOP,WDD2,2049,0.1
Region,BACKSTOP,WDD2,2050,0.1
Region,BACKSTOP,WDD2,2051,0.1
Region,BACKSTOP,WDD2,2052,0.1
Region,BACKSTOP,WDD2,2053,0.1
Region,BACKSTOP,WDD2,2054,0.1
Region,BACKSTOP,WDD2,2055,0.1
Region,BACKSTOP,WDD2,2056,0.1
Region,BACKSTOP,WDD2,2057,0.1
Region,BACKSTOP,WDD2,2058,0.1
Region,BACKSTOP,WDD2,2059,0.1
Region,BACKSTOP,WDD2,2060,0.1
Region,BACKSTOP,WDD2,2061,0.1
Region,BACKSTOP,WDD2,2062,0.1
Region,BACKSTOP,WDD2,2063,0.1
Region,BACKSTOP,WDD2,2064,0.1
Region,BACKSTOP,WDD2,2065,0.1
Region,BACKSTOP,WDE1,2015,0.1
Region,BACKSTOP,WDE1,2016,0.1
Region,BACKSTOP,WDE1,2017,0.1
Region,BACKSTOP,WDE1,2018,0.1
Region,BACKSTOP,WDE1,2019,0.1
Region,BACKSTOP,WDE1,2020,0.1
Region,BACKSTOP,WDE1,2021,0.1
Region,BACKSTOP,WDE1,2022,0.1
Region,BACKSTOP,WDE1,2023,0.1
Region,BACKSTOP,WDE1,2024,0.1
Region,BACKSTOP,WDE1,2025,0.1
Region,BACKSTOP,WDE1,2026,0.1
Region,BACKSTOP,WDE1,2027,0.1
Region,BACKSTOP,WDE1,2028,0.1
Region,BACKSTOP,WDE1,2029,0.1
Region,BACKSTOP,WDE1,2030,0.1
Region,BACKSTOP,WDE1,2031,0.1
Region,BACKSTOP,WDE1,2032,0.1
Region,BACKSTOP,WDE1,2033,0.1
Region,BACKSTOP,WDE1,2034,0.1
Region,BACKSTOP,WDE1,2035,0.1
Region,BACKSTOP,WDE1,2036,0.1
Region,BACKSTOP,WDE1,2037,0.1
Region,BACKSTOP,WDE1,2038,0.1
Region,BACKSTOP,WDE1,2039,0.1
Region,BACKSTOP,WDE1,2040,0.1
Region,BACKSTOP,WDE1,2041,0.1
Region,BACKSTOP,WDE1,2042,0.1
Region,BACKSTOP,WDE1,2043,0.1
Region,BACKSTOP,WDE1,2044,0.1
Region,BACKSTOP,WDE1,2045,0.1
Region,BACKSTOP,WDE1,2046,0.1
Region,BACKSTOP,WDE1,2047,0.1
Region,BACKSTOP,WDE1,2048,0.1
Region,BACKSTOP,WDE1,2049,0.1
Region,BACKSTOP,WDE1,2050,0.1
Region,BACKSTOP,WDE1,2051,0.1
Region,BACKSTOP,WDE1,2052,0.1
Region,BACKSTOP,WDE1,2053,0.1
Region,BACKSTOP,WDE1,2054,0.1
Region,BACKSTOP,WDE1,2055,0.1
Region,BACKSTOP,WDE1,2056,0.1
Region,BACKSTOP,WDE1,2057,0.1
Region,BACKSTOP,WDE1,2058,0.1
Region,BACKSTOP,WDE1,2059,0.1
Region,BACKSTOP,WDE1,2060,0.1
Region,BACKSTOP,WDE1,2061,0.1
Region,BACKSTOP,WDE1,2062,0.1
Region,BACKSTOP,WDE1,2063,0.1
Region,BACKSTOP,WDE1,2064,0.1
Region,BACKSTOP,WDE1,2065,0.1
Region,BACKSTOP,WDE2,2015,0.1
Region,BACKSTOP,WDE2,2016,0.1
Region,BACKSTOP,WDE2,2017,0.1
Region,BACKSTOP,WDE2,2018,0.1
Region,BACKSTOP,WDE2,2019,0.1
Region,BACKSTOP,WDE2,2020,0.1
Region,BACKSTOP,WDE2,2021,0.1
Region,BACKSTOP,WDE2,2022,0.1
Region,BACKSTOP,WDE2,2023,0.1
Region,BACKSTOP,WDE2,2024,0.1
Region,BACKSTOP,WDE2,2025,0.1
Region,BACKSTOP,WDE2,2026,0.1
Region,BACKSTOP,WDE2,2027,0.1
Region,BACKSTOP,WDE2,2028,0.1
Region,BACKSTOP,WDE2,2029,0.1
Region,BACKSTOP,WDE2,2030,0.1
Region,BACKSTOP,WDE2,2031,0.1
Region,BACKSTOP,WDE2,2032,0.1
Region,BACKSTOP,WDE2,2033,0.1
Region,BACKSTOP,WDE2,2034,0.1
Region,BACKSTOP,WDE2,2035,0.1
Region,BACKSTOP,WDE2,2036,0.1
Region,BACKSTOP,WDE2,2037,0.1
Region,BACKSTOP,WDE2,2038,0.1
Region,BACKSTOP,WDE2,2039,0.1
Region,BACKSTOP,WDE2,2040,0.1
Region,BACKSTOP,WDE2,2041,0.1
Region,BACKSTOP,WDE2,2042,0.1
Region,BACKSTOP,WDE2,2043,0.1
Region,BACKSTOP,WDE2,2044,0.1
Region,BACKSTOP,WDE2,2045,0.1
Region,BACKSTOP,WDE2,2046,0.1
Region,BACKSTOP,WDE2,2047,0.1
Region,BACKSTOP,WDE2,2048,0.1
Region,BACKSTOP,WDE2,2049,0.1
Region,BACKSTOP,WDE2,2050,0.1
Region,BACKSTOP,WDE2,2051,0.1
Region,BACKSTOP,WDE2,2052,0.1
Region,BACKSTOP,WDE2,2053,0.1
Region,BACKSTOP,WDE2,2054,0.1
Region,BACKSTOP,WDE2,2055,0.1
Region,BACKSTOP,WDE2,2056,0.1
Region,BACKSTOP,WDE2,2057,0.1
Region,BACKSTOP,WDE2,2058,0.1
Region,BACKSTOP,WDE2,2059,0.1
Region,BACKSTOP,WDE2,2060,0.1
